time_s,latency_ms
0.007160,7.1598
0.014568,7.3694
0.021885,7.3102
0.029096,7.2094
0.036245,7.1466
0.043370,7.1243
0.050495,7.1240
0.057618,7.1223
0.064745,7.1258
0.071870,7.1242
0.078994,7.1222
0.086117,7.1222
0.093254,7.1366
0.100386,7.1298
0.107520,7.1316
0.114645,7.1236
0.121770,7.1250
0.128965,7.1939
0.136089,7.1228
0.143212,7.1222
0.150336,7.1230
0.157460,7.1229
0.164585,7.1242
0.171710,7.1243
0.178834,7.1235
0.185957,7.1220
0.193083,7.1247
0.200206,7.1226
0.207343,7.1363
0.214466,7.1221
0.221590,7.1226
0.228714,7.1238
0.235901,7.1858
0.243026,7.1241
0.250150,7.1228
0.257274,7.1226
0.264397,7.1223
0.271520,7.1223
0.278644,7.1233
0.285769,7.1236
0.292892,7.1224
0.300039,7.1458
0.307166,7.1226
0.314292,7.1260
0.321416,7.1221
0.328541,7.1243
0.335667,7.1255
0.342856,7.1874
0.349985,7.1281
0.357109,7.1227
0.364232,7.1231
0.371356,7.1229
0.378480,7.1226
0.385604,7.1228
0.392728,7.1235
0.399859,7.1310
0.406983,7.1224
0.414107,7.1225
0.421230,7.1225
0.428356,7.1244
0.435482,7.1260
0.442645,7.1610
0.449817,7.1710
0.456966,7.1426
0.464712,7.7433
0.471863,7.1460
0.479185,7.3204
0.486313,7.1270
0.493436,7.1223
0.500563,7.1256
0.507689,7.1242
0.514812,7.1228
0.521935,7.1219
0.529089,7.1532
0.536217,7.1265
0.543343,7.1235
0.550546,7.2029
0.557672,7.1251
0.564802,7.1288
0.571960,7.1571
0.579090,7.1256
0.586223,7.1320
0.593377,7.1530
0.600504,7.1257
0.607628,7.1233
0.614754,7.1247
0.621884,7.1295
0.629014,7.1278
0.636139,7.1238
0.643271,7.1311
0.650394,7.1218
0.657596,7.2009
0.664724,7.1268
0.671848,7.1234
0.678972,7.1223
0.686095,7.1223
0.693219,7.1238
0.700344,7.1241
0.707467,7.1218
0.714591,7.1224
0.721734,7.1422
0.728859,7.1236
0.735984,7.1239
0.743108,7.1232
0.750232,7.1236
0.757364,7.1301
0.764570,7.2051
0.771694,7.1234
0.778817,7.1222
0.785944,7.1266
0.793069,7.1236
0.800192,7.1220
0.807315,7.1226
0.814439,7.1235
0.821563,7.1224
0.828690,7.1262
0.835814,7.1231
0.842942,7.1264
0.850072,7.1298
0.857194,7.1210
0.864318,7.1232
0.871501,7.1817
0.878625,7.1229
0.885750,7.1243
0.892874,7.1229
0.899999,7.1249
0.907132,7.1322
0.914263,7.1279
0.921387,7.1227
0.928511,7.1232
0.935638,7.1267
0.942765,7.1262
0.949890,7.1237
0.957013,7.1221
0.964144,7.1305
0.971271,7.1243
0.978465,7.1936
0.985590,7.1233
0.992714,7.1236
0.999838,7.1233
1.006963,7.1239
1.014087,7.1233
1.021211,7.1226
1.028334,7.1229
1.035460,7.1247
1.042586,7.1253
1.049713,7.1252
1.056836,7.1225
1.063960,7.1224
1.071085,7.1246
1.078208,7.1224
1.085430,7.2210
1.092554,7.1233
1.099681,7.1264
1.106805,7.1222
1.113929,7.1233
1.121053,7.1230
1.128176,7.1225
1.135301,7.1241
1.142424,7.1226
1.149548,7.1232
1.156673,7.1239
1.163796,7.1216
1.170942,7.1456
1.178066,7.1223
1.185190,7.1230
1.192402,7.2113
1.199527,7.1242
1.206652,7.1243
1.213776,7.1229
1.220900,7.1230
1.228023,7.1224
1.235150,7.1257
1.242275,7.1236
1.249398,7.1222
1.256522,7.1237
1.263647,7.1236
1.270771,7.1240
1.277895,7.1227
1.285020,7.1241
1.292143,7.1223
1.299388,7.2433
1.306515,7.1229
1.313643,7.1270
1.320770,7.1265
1.327899,7.1277
1.335024,7.1244
1.342148,7.1231
1.349273,7.1232
1.356396,7.1222
1.363520,7.1231
1.370645,7.1241
1.377771,7.1251
1.384893,7.1219
1.392018,7.1236
1.399144,7.1251
1.406332,7.1873
1.413455,7.1223
1.420579,7.1235
1.428118,7.5379
1.435250,7.1284
1.442374,7.1230
1.449500,7.1242
1.456624,7.1240
1.463778,7.1480
1.470901,7.1219
1.478023,7.1221
1.485152,7.1275
1.492430,7.2773
1.499553,7.1224
1.506679,7.1253
1.513899,7.2193
1.521030,7.1264
1.528154,7.1232
1.535278,7.1237
1.542401,7.1226
1.549531,7.1284
1.556668,7.1336
1.563796,7.1259
1.570929,7.1324
1.578074,7.1410
1.585198,7.1225
1.592322,7.1232
1.599447,7.1218
1.608052,7.1951
1.615250,7.1878
1.622390,7.1380
1.629520,7.1292
1.636655,7.1335
1.643806,7.1495
1.650940,7.1334
1.658071,7.1300
1.665209,7.1365
1.672338,7.1277
1.679469,7.1303
1.686596,7.1252
1.693725,7.1280
1.700853,7.1270
1.707982,7.1279
1.715109,7.1258
1.722236,7.1263
1.729363,7.1258
1.736490,7.1263
1.743718,7.2272
1.750841,7.1220
1.757964,7.1222
1.765087,7.1218
1.772211,7.1229
1.779334,7.1220
1.786457,7.1225
1.793580,7.1220
1.800703,7.1224
1.807828,7.1239
1.814950,7.1221
1.822077,7.1256
1.829246,7.1318
1.836376,7.1294
1.843499,7.1220
