time_s,latency_ms
0.007185,7.1849
0.014392,7.1491
0.021603,7.2069
0.028785,7.1783
0.035940,7.1501
0.043074,7.1330
0.050212,7.1371
0.057336,7.1223
0.064460,7.1228
0.071581,7.1204
0.078703,7.1205
0.085826,7.1217
0.092950,7.1230
0.100143,7.1921
0.107406,7.2622
0.114669,7.2590
0.121830,7.1467
0.128996,7.1635
0.136187,7.1888
0.143391,7.1811
0.150540,7.1473
0.157664,7.1207
0.164787,7.1217
0.171912,7.1235
0.179037,7.1246
0.186160,7.1211
0.193285,7.1241
0.200407,7.1215
0.207530,7.1210
0.214651,7.1206
0.221877,7.2247
0.229036,7.1572
0.236163,7.1239
0.243334,7.1693
0.250459,7.1239
0.257584,7.1236
0.264711,7.1262
0.271844,7.1310
0.278969,7.1231
0.286093,7.1231
0.293276,7.1811
0.300454,7.1741
0.307623,7.1642
0.314802,7.1762
0.321954,7.1484
0.329078,7.1216
0.336213,7.1342
0.343346,7.1303
0.350469,7.1216
0.357593,7.1233
0.364726,7.1312
0.371875,7.1472
0.379003,7.1270
0.386128,7.1230
0.393253,7.1243
0.400467,7.2127
0.407595,7.1260
0.414719,7.1231
0.421854,7.1334
0.428979,7.1228
0.436103,7.1231
0.443245,7.1399
0.450369,7.1227
0.457545,7.1748
0.464670,7.1234
0.471794,7.1227
0.478919,7.1232
0.486087,7.1663
0.493216,7.1278
0.500368,7.1500
0.507494,7.1244
0.514619,7.1238
0.521766,7.1452
0.528892,7.1241
0.536017,7.1232
0.543143,7.1242
0.550282,7.1381
0.557407,7.1224
0.564660,7.2514
0.571787,7.1251
0.578913,7.1250
0.586086,7.1702
0.593315,7.2262
0.600466,7.1454
0.607657,7.1865
0.615030,7.3672
0.622162,7.1297
0.629292,7.1278
0.636418,7.1246
0.643551,7.1310
0.650676,7.1238
0.657803,7.1258
0.664936,7.1312
0.672161,7.2235
0.679286,7.1241
0.686411,7.1234
0.693540,7.1273
0.700665,7.1233
0.707789,7.1222
0.714914,7.1239
0.722054,7.1384
0.729180,7.1246
0.736307,7.1257
0.743453,7.1444
0.750578,7.1236
0.757713,7.1325
0.764851,7.1369
0.771978,7.1257
0.779197,7.2173
0.786322,7.1235
0.793447,7.1235
0.800572,7.1240
0.807711,7.1380
0.814836,7.1232
0.822076,7.2383
0.829203,7.1248
0.836361,7.1561
0.843489,7.1248
0.850629,7.1387
0.857755,7.1240
0.864880,7.1235
0.872014,7.1321
0.879139,7.1233
0.886385,7.2443
0.893511,7.1247
0.900636,7.1238
0.907763,7.1252
0.914888,7.1236
0.922012,7.1236
0.929138,7.1241
0.936266,7.1263
0.943393,7.1251
0.950526,7.1316
0.957652,7.1243
0.964777,7.1235
0.971904,7.1254
0.979029,7.1238
0.986155,7.1245
0.993340,7.1838
1.000506,7.1640
1.007649,7.1414
1.014775,7.1240
1.021900,7.1243
1.029025,7.1237
1.036153,7.1257
1.043287,7.1328
1.050412,7.1234
1.057537,7.1235
1.064680,7.1414
1.071822,7.1398
1.079216,7.3929
1.086378,7.1590
1.093557,7.1769
1.100728,7.1699
1.107994,7.2641
1.115140,7.1442
1.122286,7.1445
1.129441,7.1538
1.136633,7.1901
1.143772,7.1369
1.150907,7.1336
1.158038,7.1294
1.165187,7.1467
1.172336,7.1478
1.179469,7.1309
1.186862,7.3914
1.194104,7.2367
1.201246,7.1377
1.208425,7.1763
1.215586,7.1527
1.222712,7.1244
1.229835,7.1220
1.236958,7.1207
1.244080,7.1208
1.251203,7.1218
1.258327,7.1238
1.265465,7.1363
1.272596,7.1301
1.279718,7.1204
1.286840,7.1206
1.293962,7.1211
1.301184,7.2213
1.308310,7.1234
1.315434,7.1231
1.322558,7.1231
1.329699,7.1405
1.336830,7.1290
1.343968,7.1369
1.351093,7.1239
1.358220,7.1251
1.365347,7.1256
1.372481,7.1325
1.379609,7.1266
1.386738,7.1278
1.393877,7.1371
1.401006,7.1272
1.408265,7.2580
1.415395,7.1288
1.422521,7.1238
1.429655,7.1324
1.436792,7.1359
1.444160,7.3663
1.451289,7.1248
1.458410,7.1205
1.465532,7.1205
1.472654,7.1204
1.479776,7.1215
1.486911,7.1335
1.494036,7.1206
1.501160,7.1227
1.508283,7.1214
1.515407,7.1224
1.522528,7.1208
1.529650,7.1209
1.536772,7.1207
1.543894,7.1205
1.551066,7.1704
1.558277,7.2084
1.565438,7.1580
1.572714,7.2748
1.579860,7.1435
1.586985,7.1238
1.594112,7.1257
1.601240,7.1261
1.608398,7.1567
1.615525,7.1246
1.622654,7.1272
1.629824,7.1686
1.636969,7.1432
1.644150,7.1792
1.651543,7.3905
1.658686,7.1408
1.665827,7.1380
1.672956,7.1283
1.680091,7.1330
1.687231,7.1382
1.694362,7.1295
1.701493,7.1292
1.708660,7.1656
1.715802,7.1394
1.722924,7.1209
1.730046,7.1204
1.737167,7.1207
1.744292,7.1232
1.751414,7.1211
1.758536,7.1206
1.765658,7.1209
1.772781,7.1225
1.779904,7.1205
1.787026,7.1206
1.794178,7.1482
1.801368,7.1840
1.808551,7.1816
1.815819,7.2601
1.822949,7.1280
1.830111,7.1281
1.837240,7.1273
1.844463,7.2211
1.851589,7.1237
1.858716,7.1255
1.865845,7.1275
1.872976,7.1297
1.880225,7.2475
1.887382,7.1546
1.894523,7.1389
1.901667,7.1424
1.908874,7.2056
1.916015,7.1383
1.923143,7.1266
1.930280,7.1353
1.937410,7.1286
1.944554,7.1421
1.951682,7.1262
1.958809,7.1258
1.965943,7.1319
1.973091,7.1469
1.980219,7.1261
1.987345,7.1244
1.994525,7.1775
2.001671,7.1396
