time_s,latency_ms
0.009439,9.4387
0.010655,1.1704
0.011852,1.1899
0.013045,1.1693
0.014545,1.4795
0.016010,1.4580
0.017560,1.5283
0.018826,1.2590
0.019999,1.1656
0.021303,1.2992
0.022544,1.2362
0.023590,1.0375
0.024748,1.1551
0.026083,1.3321
0.027359,1.2724
0.028662,1.2978
0.029711,1.0261
0.031153,1.4356
0.032374,1.2152
0.033737,1.3575
0.034910,1.1689
0.036115,1.2004
0.037447,1.3269
0.038649,1.1990
0.039782,1.1295
0.040737,0.9495
0.041979,1.2373
0.043163,1.1778
0.044526,1.3574
0.045841,1.2923
0.047045,1.1970
0.048537,1.4874
0.049774,1.2195
0.050871,1.0908
0.052148,1.2718
0.053931,1.7652
0.055454,1.5012
0.056938,1.4689
0.058431,1.4726
0.059797,1.3480
0.061438,1.6220
0.062642,1.1859
0.064123,1.4664
0.065866,1.7219
0.067428,1.5417
0.068936,1.4884
0.070456,1.4984
0.071768,1.2931
0.072792,1.0030
0.073684,0.8853
0.074889,1.2010
0.076077,1.1830
0.077790,1.7088
0.079439,1.6291
0.081038,1.5837
0.082423,1.3628
0.084046,1.6083
0.085342,1.2744
0.086677,1.3273
0.087910,1.2198
0.089433,1.5164
0.091027,1.5759
0.092418,1.3696
0.093679,1.2400
0.094641,0.9574
0.095536,0.8911
0.096707,1.1680
0.097915,1.2030
0.099432,1.5120
0.101133,1.6820
0.102532,1.3815
0.103822,1.2743
0.105037,1.2083
0.106149,1.1069
0.107231,1.0608
0.108596,1.3470
0.110139,1.5274
0.111862,1.7022
0.112993,1.1137
0.114314,1.3140
0.115858,1.5248
0.117448,1.5685
0.118862,1.3994
0.120436,1.5548
0.121873,1.4155
0.123138,1.2419
0.124293,1.1484
0.125712,1.4138
0.127357,1.6235
0.128844,1.4664
0.130259,1.3981
0.131930,1.6547
0.133241,1.2921
0.134589,1.3415
0.135860,1.2571
0.137110,1.2427
0.138221,1.1061
0.139539,1.3130
0.140843,1.2810
0.142063,1.2131
0.143244,1.1754
0.144599,1.3496
0.146110,1.4960
0.147610,1.4775
0.149036,1.4108
0.150372,1.3150
0.151840,1.4368
0.153103,1.2420
0.154527,1.4024
0.155771,1.2298
0.157179,1.3861
0.158736,1.5361
0.159910,1.1531
0.160950,1.0327
0.162144,1.1894
0.163133,0.9843
0.164137,0.9986
0.165341,1.2004
